setup	problem	target	train_dataset	test_dataset	is_null	metric	i_split	i_iter	score
silo	regression	nb:Age	site1	site1	False	r2	0	0	-22.524093368329357
silo	regression	nb:Age	site1	site1	False	mean_squared_error	0	0	5175.902547629344
silo	regression	nb:Age	site1	site1	False	mean_absolute_error	0	0	70.39227005885094
silo	regression	nb:Age	site1	site1	False	explained_variance	0	0	-0.0036599039342730677
silo	regression	nb:Age	site1	site2	False	r2	0	0	-26.322096507975274
silo	regression	nb:Age	site1	site2	False	mean_squared_error	0	0	5486.071543544172
silo	regression	nb:Age	site1	site2	False	mean_absolute_error	0	0	72.68762323953644
silo	regression	nb:Age	site1	site2	False	explained_variance	0	0	-0.008907157965977186
silo	regression	nb:Age	site1	site1-site2	False	r2	0	0	-24.18551076008774
silo	regression	nb:Age	site1	site1-site2	False	mean_squared_error	0	0	5330.987045586758
silo	regression	nb:Age	site1	site1-site2	False	mean_absolute_error	0	0	71.53994664919368
silo	regression	nb:Age	site1	site1-site2	False	explained_variance	0	0	-0.0063980652847717145
silo	regression	nb:Age	site1	site1-site2-weighted	False	r2	0	0	-24.185510760087734
silo	regression	nb:Age	site1	site1-site2-weighted	False	mean_squared_error	0	0	5330.987045586757
silo	regression	nb:Age	site1	site1-site2-weighted	False	mean_absolute_error	0	0	71.5399466491937
silo	regression	nb:Age	site1	site1-site2-weighted	False	explained_variance	0	0	-0.0063980652847714925
silo	regression	nb:Age	site2	site1	False	r2	0	0	-22.42001020639185
silo	regression	nb:Age	site2	site1	False	mean_squared_error	0	0	5153.001588404154
silo	regression	nb:Age	site2	site1	False	mean_absolute_error	0	0	70.23718987846611
silo	regression	nb:Age	site2	site1	False	explained_variance	0	0	0.0013036878252474793
silo	regression	nb:Age	site2	site2	False	r2	0	0	-26.12370865623933
silo	regression	nb:Age	site2	site2	False	mean_squared_error	0	0	5446.236754596855
silo	regression	nb:Age	site2	site2	False	mean_absolute_error	0	0	72.42271115636319
silo	regression	nb:Age	site2	site2	False	explained_variance	0	0	-0.0019681134076456885
silo	regression	nb:Age	site2	site1-site2	False	r2	0	0	-24.037317578681602
silo	regression	nb:Age	site2	site1-site2	False	mean_squared_error	0	0	5299.619171500504
silo	regression	nb:Age	site2	site1-site2	False	mean_absolute_error	0	0	71.32995051741466
silo	regression	nb:Age	site2	site1-site2	False	explained_variance	0	0	5.422376738006829e-05
silo	regression	nb:Age	site2	site1-site2-weighted	False	r2	0	0	-24.037317578681602
silo	regression	nb:Age	site2	site1-site2-weighted	False	mean_squared_error	0	0	5299.619171500504
silo	regression	nb:Age	site2	site1-site2-weighted	False	mean_absolute_error	0	0	71.32995051741466
silo	regression	nb:Age	site2	site1-site2-weighted	False	explained_variance	0	0	5.422376738006829e-05
federated	regression	nb:Age	site1-site2	site1	False	r2	0	0	-22.46671947619059
federated	regression	nb:Age	site1-site2	site1	False	mean_squared_error	0	0	5163.278823099826
federated	regression	nb:Age	site1-site2	site1	False	mean_absolute_error	0	0	70.30673102812499
federated	regression	nb:Age	site1-site2	site1	False	explained_variance	0	0	-0.0009853588980255346
federated	regression	nb:Age	site1-site2	site2	False	r2	0	0	-26.21236680337927
federated	regression	nb:Age	site1-site2	site2	False	mean_squared_error	0	0	5464.038643920604
federated	regression	nb:Age	site1-site2	site2	False	mean_absolute_error	0	0	72.54937662343484
federated	regression	nb:Age	site1-site2	site2	False	explained_variance	0	0	0.0008261540095458875
federated	regression	nb:Age	site1-site2	site1-site2	False	r2	0	0	-24.103645547036955
federated	regression	nb:Age	site1-site2	site1-site2	False	mean_squared_error	0	0	5313.658733510215
federated	regression	nb:Age	site1-site2	site1-site2	False	mean_absolute_error	0	0	71.42805382577991
federated	regression	nb:Age	site1-site2	site1-site2	False	explained_variance	0	0	-0.00010890602165214425
federated	regression	nb:Age	site1-site2	site1-site2-weighted	False	r2	0	0	-24.10364554703695
